location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986
lon,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500
asl,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200525T0000,8.085071,90.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.599998,7.911676,44.999985,25.460936,56.534615,26.178707,58.495735,27.288855,53.58361,16.954432,356.34778,49.32394,326.30994,244.0,14.9,6.6,1.61,5.27,13.540009,0.28,1.029768
20200525T0100,6.59507,92.0,1030.1,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.4066863,52.305756,21.578989,62.152412,21.120682,60.37625,26.496098,53.28579,15.484185,358.6678,48.128376,326.9043,242.0,14.06,7.06,1.65,3.97,12.860016,0.28,0.74353313
20200525T0200,5.52507,93.0,1030.3,0.0,0.0,2.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4800005,7.463956,55.1755,19.319628,63.43495,18.39878,59.42076,27.0,53.130096,14.404499,358.56793,48.43037,327.13684,242.0,13.26,7.26,1.64,2.99,12.190002,0.28,0.60394573
20200525T0300,4.73507,92.0,1030.4,0.0,0.0,2.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.959999,7.1730394,58.671295,17.399586,65.55604,17.595861,59.237274,27.579382,54.027603,13.722565,355.48602,48.774357,328.8912,242.0,12.57,7.34,1.67,2.05,11.490021,0.279,0.6530638
20200525T0400,4.20507,92.0,1030.5,0.0,0.0,11.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.159999,7.1482625,63.43495,16.267857,65.1363,17.287498,58.626984,27.757378,56.103836,14.113653,354.14398,49.43024,332.68848,242.0,11.93,7.42,1.76,1.13,10.809998,0.279,0.62913656
20200525T0500,3.8850703,90.0,1030.7,0.0,0.0,21.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72,6.6812778,66.501434,14.48972,63.43495,15.1884165,58.570435,26.674032,58.24051,14.113653,354.14398,49.281883,334.93256,243.0,11.28,7.61,1.89,0.25,10.089996,0.279,0.7688365
20200525T0600,3.5450702,90.0,1030.7,0.0,0.0,29.0,12.0,0.0,29.0,4.921099,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.6812778,66.501434,14.021525,60.802513,13.479583,55.885513,24.881702,58.60972,15.158522,355.91437,48.689247,336.46765,243.0,10.76,7.88,2.02,-0.2,9.429993,0.279,0.7505331
20200525T0700,5.82507,86.0,1030.4,0.0,0.0,26.0,22.0,0.0,26.0,43.404255,72.09,38.09846,33.991535,0.0144,0.0,0.0,7.92,6.080693,61.18921,13.397612,59.300278,13.104198,52.815292,24.766848,57.464928,16.56,360.0,47.739037,339.2417,243.0,10.5,8.19,2.11,6.7,9.050018,0.279,1.2334328
20200525T0800,10.46507,78.0,1029.2,0.0,0.0,4.5,15.0,0.0,0.0,57.12766,233.18,130.28592,102.894066,0.0792,0.08199122,0.0,8.64,6.027944,44.999985,11.983188,57.26477,13.276144,49.398697,25.068514,54.940567,18.391735,3.3664398,46.10952,340.85773,240.0,10.98,8.49,2.2,12.67,9.140015,0.279,2.6619024
20200525T0900,13.58507,70.0,1028.8,0.0,0.0,0.90000004,3.0,0.0,0.0,59.425533,396.05,233.38109,162.6689,0.16848,0.18140496,0.0,9.72,8.424308,34.69516,12.475961,46.16913,11.457958,43.726974,26.208397,52.815292,19.602652,7.386017,44.631287,340.68817,240.0,13.36,8.83,2.34,17.09,9.589996,0.278,4.463834
20200525T1000,15.64507,65.0,1028.6,0.0,0.0,0.3,1.0,0.0,0.0,59.808514,549.13,339.2968,209.8332,0.26784,0.2777954,0.0,14.759999,9.460013,32.347427,13.513193,41.7603,12.287555,31.827438,26.712873,52.6668,20.06334,9.293304,43.952446,340.37775,239.0,15.21,8.98,2.48,19.95,10.220001,0.278,5.9532614
20200525T1100,17.21507,59.0,1028.4,0.0,0.0,0.3,1.0,0.0,0.0,59.808514,685.3,440.3834,244.9166,0.37728,0.36837,0.0,16.919998,10.84415,27.824081,15.277749,34.43898,15.807239,30.068573,25.488914,53.615646,20.192118,11.309921,43.493004,340.6652,238.0,16.59,8.77,2.57,21.9,10.990021,0.277,7.711214
20200525T1200,18.54507,56.0,1027.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,792.1,524.2024,267.8976,0.47088,0.4421811,0.0,16.56,11.913771,26.565033,16.676977,32.660904,18.043148,28.610443,21.897945,46.3322,20.780453,14.03624,43.14747,342.01855,234.0,17.84,8.28,2.66,23.54,11.77002,0.276,9.002331
20200525T1300,19.78507,53.0,1027.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,862.41,581.34894,281.06104,0.54432,0.49845904,0.0,16.919998,12.867423,27.09555,18.171976,33.690063,20.140705,28.855652,20.12461,26.565033,20.620806,16.220184,42.3792,343.72034,229.0,19.1,7.82,2.77,24.71,12.619995,0.275,10.3932
20200525T1400,21.45507,53.0,1026.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,883.76996,599.82086,283.9491,0.59328,0.53296816,0.0,17.28,13.463086,27.072067,20.883102,35.882126,23.86341,33.92978,24.696104,30.677277,21.566975,14.500168,48.786304,348.93884,223.0,20.87,8.3,2.49,25.81,13.839996,0.27,11.526395
20200525T1500,22.19507,53.0,1026.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,864.19,583.5897,280.60028,0.60336,0.5311649,0.0,18.72,14.661684,24.702423,23.565569,34.418365,26.064596,32.59256,27.169865,32.005356,20.620806,16.220184,47.17236,349.8907,222.0,21.74,9.24,2.61,25.76,14.630005,0.269,12.062152
20200525T1600,22.51507,51.0,1026.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,801.0,531.959,269.04102,0.58464,0.503762,0.0,19.8,15.852478,24.842377,26.959166,34.114456,28.555965,33.690063,29.59235,36.59108,19.734436,14.796753,46.283455,351.05054,221.0,22.26,9.75,2.76,25.12,15.279999,0.269,12.823879
20200525T1700,22.44507,52.0,1026.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,698.64996,451.27124,247.37871,0.52848,0.4458484,0.0,21.24,16.917973,26.16156,29.964457,35.217575,31.557032,34.777817,32.47591,35.980667,20.431387,14.281097,45.680298,353.21106,221.0,22.48,10.02,2.91,23.93,15.850006,0.268,12.508599
20200525T1800,21.95507,53.0,1025.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,567.82,353.15305,214.66696,0.44496,0.36936533,0.0,22.319998,17.414085,29.309998,32.61727,37.375793,34.921856,37.46054,35.141975,37.926453,21.566975,14.500168,45.1739,354.97095,216.0,22.34,9.99,3.06,22.39,16.25,0.267,11.886058
20200525T1900,21.01507,55.0,1025.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,412.96,245.22926,167.73073,0.33696,0.2763921,0.0,22.68,17.087023,30.963745,33.233284,39.726105,37.290855,40.301315,37.290855,40.301315,23.143827,15.333282,44.8153,354.9306,217.0,21.9,9.67,3.23,20.29,16.5,0.267,10.740448
20200525T2000,19.40507,61.0,1025.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,248.31,139.92233,108.38767,0.20448,0.16808657,0.0,21.96,15.168433,30.618591,32.44996,40.049713,38.96823,43.12825,37.67465,44.999985,24.1388,17.35402,44.965427,353.10257,215.0,20.99,9.35,3.31,17.74,16.580017,0.267,8.421876
20200525T2100,15.71507,73.0,1026.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,88.11,46.963528,41.146473,0.0648,0.057246294,0.0,20.16,12.395474,28.217346,31.712708,39.472458,41.003666,46.778793,34.07091,51.434723,25.40743,20.746078,44.751637,351.67438,220.0,19.73,9.35,3.34,12.69,16.399994,0.267,4.6132526
20200525T2200,11.90507,87.0,1027.3,0.0,0.0,0.0,0.0,0.0,0.0,16.033333,0.89,0.22341192,0.66658807,0.0,0.0,0.0,20.16,11.239428,31.42955,32.138947,41.36705,39.246605,52.07891,30.466295,54.619713,26.729847,25.529694,44.50625,350.69006,225.0,18.39,9.75,3.32,9.22,15.890015,0.267,1.7315836
20200525T2300,9.68507,92.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,10.283178,36.57303,29.52878,44.999985,26.562046,57.171448,27.871534,54.46232,28.357855,28.842651,43.85651,350.0738,228.0,16.72,10.18,3.32,7.42,15.26001,0.267,0.91844845
20200526T0000,7.93507,94.0,1028.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64,9.232211,43.830856,26.42753,52.193466,19.803272,62.96913,26.178707,58.495735,29.07989,31.32869,43.34974,348.50342,228.0,15.13,10.4,3.34,5.62,14.600006,0.267,0.6115494
20200526T0100,6.80507,93.0,1028.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4800005,8.322602,50.194427,22.782625,58.570435,15.042659,68.962494,23.507753,62.65013,30.190672,30.846588,44.09375,346.30414,229.0,13.87,10.51,3.37,4.15,13.850006,0.267,0.6601095
20200526T0200,6.16507,92.0,1028.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.159999,7.90719,57.380745,20.140705,65.72555,12.144331,78.023865,20.991426,67.83366,30.500309,30.499832,45.057564,345.18655,230.0,13.01,10.54,3.39,2.82,13.100006,0.267,0.7216873
20200526T0300,5.64507,92.0,1028.8,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.5066204,62.52556,17.76081,72.29957,9.422101,83.41805,19.130875,70.20111,31.614477,30.068573,46.889915,345.3236,230.0,12.4,10.55,3.41,1.69,12.300018,0.267,0.69602966
20200526T0400,5.14507,91.0,1028.9,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,7.276183,66.250496,17.298738,77.98852,8.707238,82.874985,18.11841,69.04422,32.417995,29.981628,48.896427,346.37302,230.0,11.88,10.49,3.37,1.14,11.540009,0.267,0.7561374
20200526T0500,4.72507,91.0,1029.1,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5599995,7.276183,66.250496,17.106628,81.52885,8.4042845,80.134186,18.35647,64.440025,33.58628,30.963745,50.137028,347.56046,232.0,11.46,10.46,3.26,0.63,10.779999,0.267,0.7341809
20200526T0600,4.3850703,90.0,1029.4,0.0,0.0,32.0,0.0,0.0,32.0,5.2216315,0.0,0.0,0.0,0.0,0.0,0.0,7.5599995,7.276183,66.250496,17.518356,80.537674,9.6932955,74.9315,20.497883,59.381393,34.349354,33.023865,50.975285,349.0075,234.0,11.05,10.45,3.12,0.17,10.080017,0.267,0.79647017
20200526T0700,6.36507,88.0,1029.5,0.0,0.0,34.0,0.0,0.0,34.0,38.297874,67.64,35.76155,31.878448,0.01152,0.0,0.0,7.5599995,6.4433565,60.25511,18.59845,75.42578,11.770403,66.571304,23.269482,55.08059,35.844864,33.53047,51.49007,350.34012,237.0,10.69,10.5,2.97,7.1,9.679993,0.267,1.0976658
20200526T0800,10.68507,81.0,1028.7,0.0,0.0,19.0,0.0,0.0,19.0,47.872337,227.84,127.374,100.465996,0.0792,0.07887259,0.0,9.0,7.53493,44.999985,17.782688,68.62937,15.1884165,58.570435,26.87491,50.98059,37.641953,33.690063,51.72988,351.1932,237.0,10.93,10.56,2.87,12.76,9.730011,0.267,2.333084
