timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200427T0600,7.60507,97.0,1012.3,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5599995,5.7507854,103.392494,9.826088,118.442924,12.522619,161.56505,9.0,180.0,19.8,270.0,33.326748,280.58163,14.47,7.02,-2.65,7.23,9.200012,0.254,0.29893303
20200427T0700,7.66507,94.0,1012.2,0.0,0.0,26.0,0.0,0.0,26.0,23.148937,9.79,5.095268,4.694732,0.0,0.0,0.0,7.5599995,5.433515,101.30993,9.904906,109.09349,12.57426,156.37062,10.08,180.0,19.083395,271.08093,32.998474,276.89243,13.01,7.08,-2.62,8.23,9.040009,0.254,0.6003332
20200427T0800,10.35507,86.0,1011.7,0.0,0.0,6.0,1.0,0.0,6.0,56.170216,142.4,77.32113,65.078865,0.01728,0.03265157,0.0,8.64,4.652476,103.24051,9.9571085,102.52881,11.435313,151.82141,10.464798,183.94519,17.64,270.0,32.41799,271.90915,12.93,7.18,-2.55,12.12,9.160004,0.254,1.6814785
20200427T0900,14.22507,74.0,1010.9,0.0,0.0,7.8,26.0,0.0,0.0,55.02128,319.51,183.64116,135.86885,0.09792,0.14181606,0.0,8.28,3.9333487,118.30075,7.771331,103.392494,10.1887,147.99461,11.367109,190.95407,16.263872,264.9204,32.777798,268.11182,15.12,7.29,-2.47,17.43,9.76001,0.252,4.0337753
20200427T1000,16.68507,65.0,1010.5,0.0,0.0,1.2,4.0,0.0,0.0,59.234043,478.82,289.47052,189.34947,0.1944,0.25110623,0.0,8.28,3.700947,149.74356,7.7043357,127.40535,7.8954163,136.84761,12.413476,196.8584,15.141414,251.99585,32.85678,265.6013,17.34,7.39,-2.38,20.94,10.679993,0.252,6.3639946
20200427T1100,18.08507,58.0,1010.1,0.0,0.0,1.0,0.0,1.0,0.0,59.361702,619.44,390.4519,228.98811,0.29088,0.34873736,2.0,9.72,4.7952,180.0,8.089993,159.14554,7.968939,161.56505,11.440978,192.72435,15.077082,236.68938,32.957207,263.72894,18.5,7.54,-2.22,23.19,11.790009,0.252,8.347351
20200427T1200,19.12507,55.0,1009.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,725.35,471.7284,253.6216,0.36576,0.42367882,35.0,12.24,5.986595,200.85446,9.3669195,182.20259,9.726665,182.1211,10.661107,191.68936,16.831684,221.53177,32.491867,260.43332,19.4,7.63,-2.05,24.64,12.910004,0.25,9.548654
20200427T1300,19.92507,54.0,1009.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,784.08997,520.0355,264.0544,0.41328,0.46763635,90.0,15.119999,7.539638,212.00539,11.165805,200.77226,11.503113,200.1363,11.966953,201.16125,20.316889,209.74487,31.700449,254.85902,20.1,8.07,-1.93,25.79,14.050018,0.25,10.261239
20200427T1400,19.89507,56.0,1008.6,0.0,0.0,100.0,100.0,100.0,10.0,0.0,735.14,525.0407,210.09932,0.40752,0.44108754,186.0,19.08,9.53846,215.90973,14.021525,209.19748,14.336861,208.49564,14.973577,207.1811,22.406927,203.68208,28.277763,248.33405,20.21,8.18,-1.72,24.55,14.700012,0.25,9.796759
20200427T1500,18.25507,61.0,1008.5,0.0,0.0,100.0,100.0,100.0,52.0,0.0,446.78,197.23572,249.54428,0.29088,0.28153214,127.0,19.08,10.070483,217.47618,15.807239,210.06859,16.610792,209.8989,16.923828,209.29137,26.415268,197.44719,29.337238,240.60394,19.84,8.05,-1.67,21.87,15.230011,0.25,7.8347864
20200427T1600,19.67507,58.0,1008.4,0.0,0.0,50.0,100.0,50.0,50.0,28.085108,500.18,339.9491,160.2309,0.31536,0.31879857,190.0,21.24,10.345105,214.50853,15.778518,207.14969,16.263872,207.69948,16.75064,208.21736,31.700449,195.14099,30.599998,233.1301,20.09,8.06,-1.55,23.77,15.730011,0.25,9.224012
20200427T1700,19.62507,57.0,1008.1,0.0,0.0,29.1,97.0,27.0,0.0,41.42553,367.57,200.40799,167.16202,0.23184,0.251665,213.0,23.759998,9.914233,210.69972,15.844089,201.31792,16.179985,200.85446,16.78156,202.71442,36.2082,197.35403,32.353966,227.25458,20.28,8.33,-1.65,22.67,16.080017,0.249,9.414219
20200427T1800,19.56507,56.0,1007.7,0.0,0.0,35.0,100.0,35.0,0.0,37.659573,494.84,301.56726,193.27274,0.29088,0.29685915,223.0,24.84,9.65677,204.44395,16.520823,191.30994,17.581125,190.61966,18.511143,193.49573,40.113754,201.0375,32.32992,224.54886,20.63,8.83,-1.84,21.13,16.480011,0.249,9.597109
20200427T1900,18.41507,60.0,1007.6,0.1,0.0,62.0,100.0,62.0,60.0,20.425533,226.95,154.6171,72.3329,0.18576,0.15545313,152.0,24.48,8.710098,203.4287,17.106628,188.47115,19.296133,188.58362,21.829777,193.34872,43.30936,206.13907,31.63087,221.30862,20.46,8.86,-1.85,17.8,16.529999,0.249,8.117175
20200427T2000,17.66507,67.0,1007.5,0.0,0.0,100.0,100.0,100.0,9.0,0.0,89.89,81.35736,8.532636,0.1008,0.07594742,190.0,22.68,7.421045,201.0375,17.462784,188.29715,20.12461,190.30484,23.749088,194.03624,45.107872,208.61046,31.32207,217.52844,20.03,8.88,-2.3,16.63,16.390015,0.249,6.386553
