location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986
lon,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500
asl,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200720T0000,19.62507,73.0,1016.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.16,2.8318708,138.81407,6.696387,216.25385,5.495161,238.3925,1.8,180.0,13.493999,316.08093,26.826641,310.10092,134.0,24.96,14.0,5.94,11.03,18.52002,0.226,5.911254
20200720T0100,18.47507,78.0,1016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004564296,0.0,3.96,3.9603205,132.27368,7.968939,198.43495,6.8777895,222.8789,3.2399998,180.0,13.513193,311.7603,27.661497,308.65982,136.0,24.37,13.85,6.05,10.82,17.910004,0.226,4.481374
20200720T0200,17.14507,84.0,1016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7599998,4.212154,124.69516,9.0645685,186.84277,8.78872,214.99202,4.32,180.0,13.896187,306.57306,28.373846,305.7067,136.0,23.74,13.79,6.14,10.3,17.350006,0.226,2.9958763
20200720T0300,16.03507,90.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8399997,4.765508,116.56505,9.72,180.0,10.1887,212.00539,5.4119864,176.18593,14.693999,300.96375,28.894344,300.7189,141.0,23.14,13.87,6.22,9.77,16.779999,0.226,1.7441368
20200720T0400,15.10507,94.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5599995,4.897704,112.380135,9.47012,171.25385,10.990322,211.6075,5.8048253,172.87498,16.58346,297.1213,29.949316,295.64102,140.0,22.55,14.02,6.22,9.18,16.24002,0.226,0.9855976
20200720T0500,14.22507,98.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,5.3079824,107.52557,9.107359,161.56505,10.948973,207.40758,6.379216,163.61046,17.399586,294.44397,31.82082,291.92178,139.0,21.97,14.23,6.16,8.63,15.690002,0.226,0.31029034
20200720T0600,13.49507,100.0,1016.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64,5.5625954,106.69924,8.534353,152.35402,10.966713,203.1986,7.172949,162.47443,18.11841,290.95578,34.268143,289.00598,139.0,21.44,14.45,6.05,7.99,15.160004,0.226,0.0
20200720T0700,14.33507,92.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,39.16,20.58266,18.57734,0.0,0.0,0.0,8.28,5.4919763,104.03624,7.928177,140.52754,10.483357,195.9454,7.8625183,164.0546,18.345877,285.9454,36.551968,287.1857,140.0,20.95,14.66,5.9,14.0,14.790009,0.226,1.250082
20200720T0800,17.34507,84.0,1016.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,187.79,103.81391,83.97608,0.0576,0.072508395,0.0,7.92,3.8788424,105.9454,7.653705,131.18591,10.1376915,186.11551,8.825508,168.2317,18.289274,280.20398,38.773182,285.06848,139.0,20.75,14.84,5.75,18.86,14.880005,0.226,3.0342417
20200720T0900,21.09507,71.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,354.22,206.70255,147.51746,0.16848,0.19524461,0.0,9.0,3.207881,138.36646,5.6002855,135.0,9.72,180.0,9.726665,177.8789,18.374111,272.24576,40.960976,282.6927,142.0,21.86,15.0,5.63,23.38,15.300018,0.226,6.9559193
20200720T1000,23.30507,64.0,1017.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,515.31,315.70984,199.60016,0.29952,0.31906307,49.0,9.0,3.996,180.0,7.69592,169.2157,8.669949,175.23636,10.853866,185.71059,18.844202,263.41806,42.926132,281.12146,143.0,23.82,15.1,5.54,26.31,15.910004,0.226,9.885887
20200720T1100,24.68507,52.0,1017.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,657.70996,419.74078,237.9692,0.43344,0.43094152,0.0,8.64,4.72062,196.38954,8.28,180.0,8.287822,182.48955,11.177405,194.93143,20.176065,254.47589,44.274147,280.30487,141.0,25.15,15.2,5.47,28.07,16.640015,0.225,14.326568
20200720T1200,25.70507,46.0,1016.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,768.95996,506.26572,262.69424,0.54144,0.519598,0.0,9.72,5.124306,207.89728,8.825508,191.7683,8.4042845,189.86581,10.587917,197.8189,21.603,246.4253,44.50625,279.30994,138.0,26.1,15.36,5.46,29.48,17.390015,0.225,17.131592
20200720T1300,26.65507,42.0,1016.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,844.61,567.45825,277.1517,0.61344,0.58393383,0.0,9.36,5.4919763,219.09386,9.227524,200.55605,8.766573,199.17902,9.565437,199.79887,23.507753,242.65013,44.44943,278.85202,137.0,26.96,15.66,5.5,30.63,18.190002,0.224,19.468464
20200720T1400,27.64507,44.0,1016.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,871.31,590.49365,280.81638,0.648,0.6111989,62.0,6.12,4.066419,238.3925,6.9153743,218.65982,7.145796,220.91438,7.2,216.8699,26.980793,238.64291,40.091137,274.63547,132.0,27.98,16.32,5.45,31.79,18.970001,0.225,19.92669
20200720T1500,28.23507,41.0,1016.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,858.85,580.17474,278.67523,0.65664,0.60947174,33.0,6.8399997,4.4337797,237.26477,7.9932966,215.83765,8.209263,217.87498,7.9932966,215.83765,28.277763,238.53586,40.018333,273.09406,131.0,28.73,16.54,5.47,31.74,19.75,0.224,21.732685
20200720T1600,28.61507,39.0,1016.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,801.89,533.62317,268.2668,0.62928,0.5736902,0.0,12.24,4.802594,236.30994,8.714677,218.29016,9.220499,218.65982,9.0,216.8699,28.84721,240.87595,39.97459,271.54816,133.0,29.23,16.85,5.48,31.17,20.410004,0.223,22.973381
20200720T1700,28.72507,38.0,1016.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,704.88,456.89404,247.98595,0.57168,0.5073071,20.0,12.599999,5.2542295,239.53445,9.449572,220.36453,9.686609,221.98721,10.195057,222.1376,28.694056,246.32947,40.68637,271.01398,134.0,29.54,17.17,5.43,30.18,20.99002,0.223,23.50023
20200720T1800,28.56507,39.0,1016.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,576.72,360.38696,216.33302,0.47664,0.41216505,47.0,12.24,4.890454,240.64224,9.686609,221.98721,9.931042,223.5312,10.195057,222.1376,28.385262,254.55368,42.121536,270.4897,131.0,29.7,17.41,5.34,28.92,21.420013,0.222,22.906614
20200720T1900,28.18507,41.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,423.63998,252.97812,170.66187,0.35136,0.2939692,69.0,11.159999,3.9333487,241.69925,8.942214,220.1009,9.449572,220.36453,9.957108,220.60129,27.595823,262.50415,43.199997,270.0,130.0,29.71,17.53,5.22,27.19,21.74002,0.222,21.669275
20200720T2000,26.98507,46.0,1016.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,260.77,147.82117,112.94882,0.18,0.15659802,118.0,2.52,1.7870656,243.43495,7.9932966,215.83765,9.220499,218.65982,11.246759,219.80557,28.808998,268.5679,44.639996,270.0,132.0,29.61,17.67,5.11,28.53,21.970001,0.222,18.482712
20200720T2100,25.33507,53.0,1016.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.57,53.914085,46.655914,0.03888,0.037292585,115.0,2.8799999,0.5956885,153.43495,5.4833565,203.1986,7.4128532,209.05461,11.183201,213.17851,29.899511,272.07004,45.361427,270.4547,136.0,29.41,17.73,5.0,16.89,21.820007,0.222,14.585146
20200720T2200,23.91507,56.0,1017.3,0.0,0.0,0.0,0.0,0.0,0.0,22.466667,2.67,1.8669188,0.80308133,0.0,0.0,86.0,5.04,2.6237357,113.96249,4.6938252,175.60129,6.87779,186.009,11.440979,204.14554,31.012281,273.3274,45.36571,270.9094,143.0,29.03,17.61,4.93,14.63,21.230011,0.222,12.537429
20200720T2300,22.30507,61.0,1017.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013339481,95.0,6.12,4.1698194,116.56505,6.151683,159.44395,8.707238,172.87498,13.207634,197.44719,32.47192,273.8141,45.012955,271.37485,146.0,28.6,17.55,4.89,14.16,20.640015,0.222,10.076619
20200721T0000,21.00507,64.0,1017.3,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.015023971,106.0,6.4799995,4.897704,112.380135,7.729527,152.24146,10.594036,170.21759,15.379206,196.31386,33.574707,274.30447,44.692226,272.7702,144.0,28.14,17.54,4.77,13.61,20.070007,0.222,8.587067
20200721T0100,19.86507,67.0,1017.7,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.014708342,97.0,7.2,5.394189,110.22486,9.021574,151.38954,13.138765,170.53767,18.899143,197.74467,33.96233,274.8645,44.784924,274.61066,147.0,27.62,17.53,4.53,13.38,19.5,0.222,7.333827
20200721T0200,19.77507,66.0,1017.8,0.0,0.0,100.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.00144,0.016302615,96.0,8.28,5.5625954,106.69924,10.00256,149.74356,15.188415,174.55966,22.33161,200.77226,33.574707,274.30447,44.565907,276.49353,148.0,27.13,17.57,4.21,17.58,19.170013,0.222,7.513812
20200721T0300,19.41507,66.0,1017.9,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.00432,0.016040497,111.0,8.64,5.5625954,106.69924,9.585739,145.71312,16.923828,178.78113,24.344624,203.53235,32.760002,270.0,44.700928,277.86908,149.0,26.66,17.66,4.28,17.77,18.970001,0.222,7.3467426
20200721T0400,19.14507,64.0,1017.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.00432,0.01603274,104.0,9.36,5.3079824,107.52557,9.504272,142.69604,18.751125,183.30186,25.759504,206.56505,32.85678,265.6013,44.44943,278.85202,148.0,26.16,17.76,4.08,17.83,18.77002,0.222,7.6485014
20200721T0500,19.34507,60.0,1017.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0072,0.019178955,83.0,9.36,5.3079824,107.52557,8.942214,139.8991,20.721119,187.98933,26.260265,208.67316,33.31508,263.79657,44.805176,278.78116,149.0,25.71,17.89,3.84,18.44,18.640015,0.222,8.605467
20200721T0600,18.42507,62.0,1018.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0072,0.017491471,88.0,9.72,5.394189,110.22486,9.220499,141.34018,21.398056,192.63336,26.486313,211.09732,33.75756,262.6476,46.176926,278.06693,150.0,25.32,17.99,3.7,15.98,18.480011,0.222,7.71618
20200721T0700,19.14507,61.0,1018.2,0.0,0.0,100.0,0.0,2.0,100.0,0.0,25.81,13.559881,12.250118,0.0288,0.0,79.0,9.36,5.3079824,107.52557,8.669949,138.36646,21.129883,193.79948,25.49908,210.54758,32.908016,259.9194,46.941013,278.37866,152.0,24.97,18.02,3.62,18.65,18.339996,0.222,8.285876
20200721T0800,19.81507,67.0,1018.4,0.0,0.0,100.0,0.0,0.0,100.0,0.0,84.549995,56.786514,27.763483,0.07776,0.06424182,68.0,14.04,4.802594,109.44003,8.714677,141.70984,20.523157,195.25513,25.318008,209.84593,31.956972,255.65067,46.88991,277.94348,154.0,24.72,17.99,3.6,19.81,18.300018,0.222,7.3110332
