location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986
lon,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500
asl,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200622T0000,16.235071,85.0,1022.9,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,17.28,3.8142676,347.90524,11.792404,328.73627,16.039202,350.9605,17.015474,6.0724487,21.398056,347.36664,35.931534,322.32642,190.0,20.58,10.19,1.75,14.74,16.440002,0.259,2.6499949
20200622T0100,14.90507,91.0,1023.1,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.440001,3.207881,355.23636,7.7879906,326.30994,16.263872,354.9204,17.163355,9.659882,19.839235,348.48615,34.07091,321.43475,192.0,19.79,10.03,1.69,9.96,16.029999,0.259,1.4593725
20200622T0200,15.14507,90.0,1023.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,12.24,3.1968002,360.0,6.9247384,332.10272,15.84409,358.69806,18.782204,12.171448,18.64369,349.992,34.353127,321.80905,194.0,19.03,9.79,1.52,14.31,15.77002,0.259,1.6469126
20200622T0300,14.85507,91.0,1023.3,0.0,0.0,71.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.00288,0.0,48.0,11.159999,3.1968002,360.0,5.6920996,341.56506,14.404499,1.4320831,19.93048,16.798355,17.462784,351.70285,35.785156,323.59125,195.0,18.38,9.59,1.65,14.21,15.600006,0.259,1.4546556
20200622T0400,14.71507,91.0,1023.3,0.0,0.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.00288,0.0,42.0,11.5199995,3.7296,360.0,6.162207,353.29016,13.797912,7.4958496,20.730501,20.323135,16.75064,351.34747,38.342957,325.71313,195.0,17.8,9.41,1.8,14.09,15.440002,0.259,1.4415045
20200622T0500,14.63507,91.0,1023.4,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.00288,0.0,35.0,11.159999,3.5039446,8.74614,6.489992,3.1798248,14.458382,18.886078,21.413193,26.995834,16.09969,349.69516,40.25888,328.15753,196.0,17.31,9.28,2.02,14.0,15.290009,0.259,1.4340401
20200622T0600,12.86507,100.0,1023.4,0.0,0.0,38.0,0.0,0.0,38.0,8.896454,0.0,0.0,0.0,0.0,0.0,23.0,12.24,3.6234312,17.102722,7.8625183,15.945404,15.141414,28.39302,21.068459,33.147003,16.09969,349.69516,40.872288,328.69006,196.0,16.71,9.19,2.29,8.72,14.950012,0.259,0.0
20200622T0700,14.46507,92.0,1023.1,0.0,0.0,45.0,0.0,0.0,45.0,31.276594,78.32,41.623802,36.696198,0.00432,0.0008555463,14.0,15.4800005,4.295571,7.125,8.049845,26.565033,15.9134655,37.647614,20.380579,35.655334,16.454008,349.9194,40.565147,328.42584,193.0,16.07,9.12,2.58,15.15,14.76001,0.259,1.2607002
20200622T0800,16.68507,86.0,1022.8,0.0,0.0,20.0,0.0,0.0,20.0,47.234047,230.51,129.36362,101.14637,0.09072,0.09627668,9.0,16.919998,6.399148,2.3859253,8.373386,25.463333,16.548256,44.11859,20.304129,37.07306,17.414476,352.875,39.763298,328.32452,192.0,17.03,9.08,2.94,18.63,14.850006,0.259,2.545597
20200622T0900,17.76507,82.0,1023.3,0.0,0.0,13.0,0.0,0.0,13.0,51.70213,327.52,201.01508,126.50491,0.16272,0.16899894,44.0,15.119999,7.501892,6.1154785,9.826088,28.442917,12.475961,43.830856,19.8,36.86989,18.03237,356.5664,38.46613,328.39252,196.0,18.23,9.14,3.35,18.66,15.100006,0.259,3.505724
20200622T1000,18.24507,80.0,1023.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,209.15,45.590973,163.55902,0.13392,0.13504222,49.0,16.199999,7.996438,1.9091492,9.693296,21.801407,9.339208,27.552795,20.172853,34.824493,18.359999,360.0,36.48809,329.13318,200.0,18.58,9.25,3.84,19.58,15.300018,0.258,4.015291
20200622T1100,18.71507,77.0,1023.8,0.0,0.0,84.0,0.0,0.0,84.0,6.382978,262.55,46.006683,216.5433,0.17712,0.17083463,48.0,16.919998,8.262695,358.1524,9.6932955,15.068481,9.904906,19.093475,20.172853,34.824493,18.36353,1.1233063,34.51685,329.95865,199.0,18.92,9.23,4.36,20.43,15.540009,0.258,4.756378
20200622T1200,19.10507,75.0,1023.6,0.0,0.0,100.0,0.0,0.0,100.0,0.0,307.94,47.211395,260.7286,0.21312,0.20083886,45.0,18.0,9.092791,354.95755,10.661107,11.689362,11.726277,17.878693,21.385939,36.09828,18.775301,4.398697,32.86861,331.1892,197.0,19.26,9.25,4.75,21.16,15.790009,0.258,5.298149
20200622T1300,19.45507,73.0,1023.6,0.0,0.0,71.0,0.0,0.0,71.0,14.680849,333.75,43.62274,290.12726,0.23616,0.22028497,41.0,18.359999,9.623642,355.23636,11.792404,12.339081,13.32,18.924637,23.113008,37.40535,18.175545,7.9696045,30.911821,333.7334,197.0,19.64,9.38,5.09,21.25,16.059998,0.258,5.8487787
20200622T1400,21.55507,71.0,1023.4,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,479.71,187.71393,291.99606,0.324,0.3117596,65.0,19.08,9.8604,358.45184,12.849528,11.309921,13.896187,16.557053,24.522314,40.236343,18.218275,29.604446,27.086262,336.50146,195.0,21.04,10.5,6.22,26.66,15.619995,0.258,7.1559334
20200622T1500,22.73507,65.0,1022.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,821.47,576.8528,244.61716,0.54432,0.50752217,60.0,20.16,10.685928,4.289139,15.042659,21.037506,16.267857,24.863693,22.9724,32.195724,17.287498,31.373001,25.744402,339.53772,191.0,22.42,11.03,6.55,26.87,16.26001,0.257,9.283705
20200622T1600,22.29507,65.0,1022.1,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,425.41998,161.6365,263.78348,0.34416,0.2957224,52.0,20.16,11.080446,9.688782,16.42247,26.003342,18.359999,28.07248,22.862123,26.16156,16.79314,30.963745,25.071096,344.1676,184.0,22.78,11.37,6.85,23.25,16.649994,0.257,9.037601
20200622T1700,22.48507,65.0,1021.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,399.61,188.63605,210.97394,0.32688,0.2802531,55.0,19.8,11.442802,12.094757,16.923828,29.291351,19.881649,31.67546,24.651457,28.810776,16.1198,29.427444,24.288662,348.02386,182.0,23.17,11.71,7.09,22.84,17.01001,0.257,9.143166
20200622T1800,22.42507,65.0,1021.2,0.0,0.0,11.0,0.0,0.0,11.0,52.97872,265.22,85.40213,179.81787,0.24624,0.20904636,53.0,19.8,11.8240795,14.349319,18.58451,31.534775,21.868332,32.905228,25.661207,34.13594,15.778518,27.149673,23.319553,351.11935,177.0,23.33,11.91,7.3,22.29,17.26001,0.257,9.109709
20200622T1900,22.28507,66.0,1021.1,0.0,0.0,12.0,0.0,0.0,12.0,52.340427,202.03,82.065346,119.96465,0.20016,0.17005755,49.0,19.08,11.892902,15.592804,19.576189,32.22876,23.363974,33.690063,28.167557,38.77417,15.941944,25.407715,22.862125,352.7631,176.0,23.4,12.09,7.46,21.71,17.470001,0.256,8.773994
20200622T2000,21.88507,67.0,1021.1,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,132.61,73.447296,59.16271,0.14256,0.12547834,46.0,18.359999,11.380612,16.313858,20.188908,31.138962,25.570139,35.256348,31.319998,43.602814,16.78156,22.714401,22.505037,352.64764,177.0,23.27,12.07,7.56,20.9,17.610016,0.256,8.309769
20200622T2100,20.78507,71.0,1021.6,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,62.3,39.9262,22.373796,0.07344,0.070674784,51.0,15.84,9.369556,14.826477,20.00512,30.256424,27.887802,39.237366,32.957207,49.8739,18.58451,21.595291,22.148045,352.52844,181.0,22.8,11.99,7.68,19.35,17.660004,0.256,6.8238926
20200622T2200,17.09507,82.0,1021.7,0.0,0.0,10.0,0.0,0.0,10.0,30.234043,6.23,5.6285896,0.60141027,0.0,0.0,31.0,21.96,7.920641,19.653809,22.782625,31.42955,30.293522,45.48146,33.353954,57.33908,20.61766,24.775131,21.349546,354.1933,181.0,22.06,11.86,7.85,13.27,17.450012,0.256,3.359645
20200622T2300,14.91507,88.0,1021.7,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0003666584,26.0,22.68,7.401894,30.256424,24.569836,39.05313,29.522196,52.431404,30.432245,62.52556,22.553936,28.610443,20.633371,353.991,180.0,21.17,12.04,8.06,11.81,17.040009,0.256,1.9470959
20200623T0000,13.31507,91.0,1021.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,7.168091,41.987198,24.014996,49.864517,25.49908,59.45243,25.12016,64.53666,23.664352,33.20656,19.917469,353.77417,174.0,20.22,11.96,8.3,10.12,16.580017,0.256,1.3156586
20200623T0100,12.33507,92.0,1021.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.199999,6.874978,54.46232,20.316889,60.25511,17.782688,68.62937,20.140705,65.72555,22.493519,39.805573,19.245697,352.4762,176.0,19.35,11.98,8.48,8.48,16.040009,0.256,1.0963774
20200623T0200,11.66507,92.0,1021.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.159999,6.552573,63.43495,16.179985,69.14554,11.367109,79.04594,15.646544,66.9745,20.620804,44.292664,19.652176,351.57306,178.0,18.53,12.11,8.57,7.37,15.459991,0.256,1.0487404
20200623T0300,11.07507,97.0,1021.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,6.0748544,74.74488,12.429127,79.99202,7.928178,92.602554,11.384199,71.56504,19.134262,48.81407,20.674158,352.99875,179.0,17.77,12.29,8.61,6.54,14.850006,0.257,0.37811756
20200623T0400,10.61507,99.0,1021.7,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,5.651197,81.869896,10.105681,94.08562,6.9527545,111.2505,7.928178,87.39744,17.148247,50.964478,22.007162,356.2483,177.0,17.12,12.5,8.63,6.02,14.279999,0.257,0.122219086
20200623T0500,10.23507,100.0,1021.5,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,5.600739,87.27369,9.346143,105.64224,6.792466,122.00538,6.0347,107.35402,15.629971,51.54628,24.122683,359.1449,176.0,16.43,12.74,8.65,7.29,13.709991,0.257,-9.536743e-07
20200623T0600,10.34507,98.0,1021.7,0.0,0.0,39.0,0.0,0.0,39.0,8.591311,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.328,89.99999,8.654986,106.92751,6.696387,126.25384,5.0911684,135.0,14.264361,47.045395,26.28986,1.5693512,177.0,15.1,12.98,8.65,9.62,13.360016,0.257,0.24005032
20200623T0700,12.09507,92.0,1021.4,0.0,0.0,100.0,0.0,0.0,100.0,0.0,73.869995,39.25008,34.619915,0.01008,0.0,0.0,3.6,4.5288,89.99999,8.654986,106.92751,6.696387,126.25384,5.815978,158.1986,13.493999,46.080917,27.475807,5.26239,177.0,14.46,13.2,8.63,13.41,13.209991,0.257,1.0790997
20200623T0800,14.94507,90.0,1021.3,0.0,0.0,12.0,0.0,0.0,12.0,52.340427,225.17,126.33936,98.830635,0.10224,0.0882495,0.0,3.6,3.1968002,89.99999,7.5942073,95.44032,6.792466,122.00538,6.87779,173.991,13.237038,44.999985,27.645092,8.235611,178.0,15.41,13.45,8.62,17.61,13.339996,0.257,1.6257343
