location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217
lon,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116
asl,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200413T0000,13.313722,52.0,1016.2,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.02304,0.034415543,0.0,17.28,7.544342,222.1376,18.626305,228.91824,41.587402,228.86073,23.132626,200.9735,25.14852,166.75948,27.776047,227.6264,15.56,7.11,-4.34,13.23,14.76001,0.224,7.398614
20200413T0100,12.633722,53.0,1016.8,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01872,0.027547691,0.0,18.359999,6.6172385,220.1009,15.580141,229.68591,37.798286,229.63547,16.516901,196.46002,27.402597,170.16644,26.044699,229.48462,14.85,7.17,-4.23,12.5,13.830017,0.224,6.9295135
20200413T0200,12.083722,53.0,1016.6,0.0,0.0,100.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.01584,0.02730308,0.0,16.56,6.675965,208.61046,15.530151,224.0608,32.409996,229.05356,14.707222,201.54099,26.525429,172.19981,27.558228,236.72511,14.41,6.97,-4.24,11.87,13.089996,0.224,6.683632
20200413T0300,11.743722,51.0,1016.1,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01584,0.023263225,10.0,17.64,5.7631135,213.69006,15.021105,224.02899,25.984919,227.24574,16.87398,213.69006,27.51116,186.009,28.460497,235.30484,14.1,6.58,-4.29,11.44,12.550018,0.224,6.8136024
20200413T0400,11.543722,50.0,1016.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01296,0.01615245,32.0,17.64,4.5288,208.0725,13.004922,221.63354,18.864824,221.90594,17.377226,219.95755,29.024128,187.12502,26.434887,240.64226,13.97,6.35,-4.32,11.14,12.140015,0.224,6.8614197
20200413T0500,11.473722,49.0,1016.0,0.0,0.0,100.0,56.0,100.0,0.0,0.0,0.0,0.0,0.0,0.00576,0.004331771,19.0,10.440001,2.7167575,191.30994,9.178235,221.82018,13.513193,221.7603,12.181624,214.1597,26.341572,183.91824,26.459387,236.09372,13.99,6.22,-4.51,10.65,11.720001,0.224,6.9663186
20200413T0600,11.193722,51.0,1015.6,0.0,0.0,96.0,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.00144,0.0,24.0,2.16,0.5328,89.99999,2.2768397,251.56506,7.8954163,223.15239,5.3517847,160.34618,24.717085,192.61932,28.90107,230.55995,13.96,6.18,-4.6,9.9,11.209991,0.224,6.5701604
20200413T0700,10.753722,56.0,1015.7,0.0,0.0,61.0,0.0,61.0,0.0,3.6218085,0.0,0.0,0.0,0.0,0.008209872,12.0,4.68,3.767465,44.999985,6.6185193,22.380127,1.484318,255.96376,6.5693827,99.46232,21.129885,188.82037,30.77105,241.33604,13.62,6.36,-4.78,8.85,10.5,0.224,5.729853
20200413T0800,11.153722,65.0,1015.9,0.0,0.0,90.0,2.0,90.0,0.0,2.5531912,86.33,45.924347,40.405655,0.01152,0.016114803,8.0,4.32,5.117377,38.659805,11.753876,40.03026,1.609969,26.565033,6.5693827,80.537674,22.007162,183.75172,27.21038,244.11298,13.12,6.38,-4.8,11.9,10.690002,0.224,4.680542
20200413T0900,12.773722,60.0,1015.7,0.0,0.0,100.0,19.0,100.0,86.0,0.0,251.87,142.09828,109.77171,0.036,0.111451976,13.0,5.04,5.394189,20.224854,7.968939,18.434952,1.835647,11.309921,5.315336,61.699234,25.223133,182.45403,21.068459,253.11322,13.51,6.31,-5.21,15.45,12.160004,0.223,5.9517775
20200413T1000,14.153722,50.0,1015.9,0.0,0.0,100.0,24.0,100.0,37.0,0.0,402.28,239.11636,163.16364,0.0648,0.20650174,25.0,5.7599998,5.1725526,34.508514,7.4128532,29.05458,4.198285,30.963745,6.3690495,47.29059,22.68,180.0,16.75064,261.34747,14.52,6.34,-5.46,18.67,14.230011,0.223,8.139214
20200413T1100,15.663722,41.0,1016.1,0.0,0.0,79.0,15.0,79.0,0.0,9.574467,552.69,342.9959,209.6941,0.09504,0.30486804,13.0,6.4799995,5.5434246,35.21759,8.217153,28.810776,6.0347,17.35402,7.289444,20.224854,20.674158,172.99873,12.661564,255.17352,15.74,6.5,-5.2,21.7,16.540009,0.223,10.584819
20200413T1200,16.893723,37.0,1014.9,0.0,0.0,39.0,32.0,39.0,0.0,35.106384,668.39,428.41324,239.97678,0.12672,0.3875867,0.0,11.159999,7.90719,32.619232,11.753877,27.349869,13.237039,22.380127,9.83268,23.749481,19.13426,168.05582,14.658676,245.32315,16.78,6.86,-4.73,24.02,18.77002,0.222,12.223479
20200413T1300,17.763721,35.0,1014.1,0.0,0.0,7.8,26.0,0.0,0.0,55.02128,750.26996,490.77026,259.4997,0.1512,0.44542867,0.0,15.84,9.247572,41.49646,14.113652,37.746796,23.185787,53.841812,16.595179,40.601288,17.227419,190.8403,17.462782,255.67728,17.5,7.3,-4.05,25.69,20.660004,0.221,13.324009
20200413T1400,18.183722,48.0,1014.4,0.0,0.0,8.1,27.0,0.0,0.0,54.82979,774.3,510.4071,263.89288,0.15984,0.45158258,11.0,19.08,10.444103,37.746796,16.489416,36.119324,25.476198,47.29059,17.610588,40.855362,8.209263,142.12502,21.349546,275.80673,17.84,7.51,-3.88,26.21,21.440002,0.229,10.944375
20200413T1500,18.893723,46.0,1013.8,0.0,0.0,30.000002,100.0,5.0,0.0,40.851063,752.94,493.7796,259.1604,0.1656,0.45136437,46.0,19.44,10.817939,37.99872,16.704155,37.11685,26.758923,47.726303,19.64228,48.71527,7.386582,136.97493,21.322214,281.68936,18.64,7.89,-3.9,26.54,22.540009,0.228,11.88169
20200413T1600,19.273722,46.0,1013.1,0.0,0.0,92.0,100.0,92.0,0.0,1.2765956,662.16,430.6012,231.55879,0.15984,0.4091559,95.0,20.519999,11.402418,37.40535,16.489416,36.119324,26.230639,43.33165,26.161375,55.6539,6.4096174,128.15723,20.393293,290.67444,19.26,8.13,-3.93,25.83,23.040009,0.227,12.166403
20200413T1700,19.193722,47.0,1013.2,0.0,0.0,100.0,100.0,100.0,0.0,0.0,533.11,343.31708,189.7929,0.144,0.34133688,92.0,23.759998,12.108752,39.644165,18.723461,37.97159,28.79325,42.46643,31.845251,47.290604,3.8773184,111.80141,18.681883,295.08362,19.33,8.16,-3.76,24.53,22.869995,0.227,11.881802
20200413T1800,18.273722,49.0,1012.4,0.0,0.0,100.0,100.0,100.0,0.0,0.0,422.75,253.68062,169.06938,0.12528,0.27142116,40.0,24.48,12.633653,42.436203,21.166653,41.552597,32.353966,47.254578,33.1552,48.521454,4.829907,63.43495,17.072504,294.9439,18.64,8.18,-3.63,22.56,22.100006,0.226,10.794668
20200413T1900,17.283722,51.0,1012.0,0.0,0.0,100.0,38.0,100.0,0.0,0.0,294.59,168.07635,126.51365,0.09504,0.18962583,29.0,27.0,11.733703,39.472458,22.725668,40.50284,34.897724,47.09015,34.411556,47.96823,6.696387,53.746155,17.068707,297.64597,18.24,8.24,-3.64,19.91,20.809998,0.225,9.744744
20200413T2000,15.963722,56.0,1012.3,0.0,0.0,100.0,100.0,100.0,0.0,0.0,123.71,66.63365,57.076344,0.06048,0.0952814,26.0,31.319998,11.566178,38.45369,26.552288,40.601288,40.00538,42.447083,39.23174,47.23117,8.669949,48.366455,19.386593,291.8014,17.58,8.2,-3.72,16.92,19.01001,0.225,8.046576
20200413T2100,14.543722,60.0,1012.1,0.0,0.0,100.0,84.0,100.0,0.0,0.0,4.45,2.6865258,1.7634741,0.0288,0.040796865,30.0,30.239998,12.079411,41.42366,28.266304,46.54814,45.56667,45.320084,43.85799,48.327408,8.913181,43.36342,22.180206,305.7539,16.9,8.06,-3.57,14.84,17.029999,0.225,6.6776686
20200413T2200,13.663722,63.0,1013.2,0.0,0.0,16.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.040610254,5.0,31.68,11.4923115,44.06079,27.841293,49.72014,53.2435,51.037674,50.11246,52.88314,9.885262,56.88865,25.305208,320.19443,16.23,8.0,-3.72,13.38,15.470001,0.225,5.834525
20200413T2300,13.143723,67.0,1014.8,0.0,0.0,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01872,0.066343956,0.0,40.32,23.637653,39.970917,46.04905,39.289413,64.20728,55.508026,49.226624,55.72885,12.496718,41.49646,26.729847,334.4703,15.02,7.76,-3.53,12.52,14.179993,0.224,5.030443
20200414T0000,11.693722,75.0,1015.7,0.0,0.0,28.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01872,0.051143553,0.0,41.760002,27.768288,40.72052,51.03627,40.99582,57.812233,55.9141,44.832645,55.799507,18.864824,48.09404,27.943512,338.06152,13.24,7.48,-3.84,11.36,13.149994,0.224,3.4648752
20200414T0100,10.553722,75.0,1015.7,0.0,0.0,4.8,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01728,0.04890549,0.0,42.48,28.098572,42.310226,51.483776,42.16588,53.94357,54.506767,46.226017,52.594635,18.089775,42.58049,31.910301,336.03754,12.06,7.13,-3.71,10.31,12.179993,0.224,3.212531
20200414T0200,9.823722,76.0,1016.3,0.0,0.0,4.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01584,0.0463265,0.0,43.199997,29.227615,42.4142,53.78477,42.0157,54.621624,55.472015,46.296055,53.2192,23.740902,49.30446,31.25372,335.50143,11.32,6.89,-3.64,9.52,11.309998,0.224,2.937191
