location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986
lon,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500
asl,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200518T0000,11.04507,85.0,1021.2,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.72,6.1963058,25.463333,17.10284,30.343246,22.725668,49.49716,19.770523,56.88865,23.688984,53.652534,34.98674,49.59053,175.0,16.51,8.65,1.07,5.92,13.77002,0.268,1.8868036
20200518T0100,9.54507,88.0,1022.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64,5.842608,46.847595,17.884428,40.100906,18.171976,56.30993,14.168641,62.783897,22.366402,56.82148,32.886345,48.106018,180.0,15.46,8.4,1.28,4.86,13.089996,0.268,1.3646994
20200518T0200,8.55507,94.0,1022.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.199999,5.2542295,59.534447,17.610588,49.144623,14.336861,61.50435,9.504273,65.37643,20.3774,57.994614,32.33794,43.64679,182.0,14.61,8.15,1.27,3.97,12.420013,0.268,0.63800716
20200518T0300,8.02507,97.0,1022.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999,4.802594,70.55996,15.315873,60.42215,10.163227,67.067894,5.95906,64.98311,18.089775,58.84069,32.44996,40.049713,186.0,13.99,7.92,1.13,3.22,11.730011,0.268,0.30766487
20200518T0400,7.7150702,99.0,1023.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,4.3935814,75.96376,11.841756,70.46334,7.628263,70.70995,3.6,53.130096,15.496736,59.26451,33.40831,37.11685,190.0,13.48,7.71,0.93,2.64,11.080017,0.268,0.10039902
20200518T0500,7.1950703,97.0,1023.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,4.295571,82.874985,9.3876505,85.60129,5.6920996,71.56504,3.5455887,23.962494,13.217443,60.64225,35.069984,35.811157,192.0,12.84,7.54,0.74,7.22,10.52002,0.268,0.2906208
20200518T0600,7.17507,96.0,1023.9,0.0,0.0,33.0,0.0,0.0,33.0,0.3352837,0.0,0.0,0.0,0.0,0.0,0.0,5.7599998,4.270717,86.42367,8.350138,97.431404,4.896529,72.89727,4.802999,12.994629,11.609651,60.25511,36.504074,36.982895,192.0,11.36,7.4,0.59,6.94,10.26001,0.268,0.38696098
20200518T0700,8.36507,93.0,1023.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,43.61,22.987272,20.622728,0.0,0.0,0.0,4.68,3.767465,81.869896,8.209263,105.25512,5.0142193,68.96249,6.725354,15.524109,11.119281,60.945396,38.627514,39.32698,193.0,10.18,7.29,0.52,10.06,10.119995,0.268,0.7347584
20200518T0800,10.65507,87.0,1022.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,198.47,110.357414,88.11259,0.0432,0.06380651,0.0,5.7599998,2.2761226,69.443954,6.830519,108.434944,5.4833565,66.8014,8.557102,22.249008,11.183201,56.82148,40.513996,42.47917,189.0,11.08,7.25,0.54,13.27,10.230011,0.268,1.593113
20200518T0900,14.15507,78.0,1023.1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,374.69,219.88557,154.80443,0.13824,0.17305425,0.0,6.8399997,2.6772869,5.7105865,3.6179552,95.71059,6.193674,54.46232,10.315115,29.24881,11.681987,56.30993,41.241608,45.70732,194.0,14.21,7.31,0.62,18.08,10.640015,0.268,3.3976622
20200518T1000,16.60507,71.0,1022.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,534.89,329.32617,205.56383,0.25056,0.28009617,0.0,9.0,4.861344,350.5377,2.968636,14.03624,6.193674,35.53766,11.183201,33.178513,12.096214,53.47113,40.843742,49.289154,193.0,16.44,7.42,0.7,21.2,11.27002,0.268,5.246148
20200518T1100,18.43507,65.0,1022.4,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,673.73,431.5952,242.13478,0.36288,0.37581986,0.0,11.5199995,7.108438,347.00537,5.7599998,360.0,6.4799995,360.0,12.096214,36.528854,12.88981,54.09027,39.31259,52.815292,188.0,18.19,7.62,0.75,23.28,12.070007,0.267,7.1114826
20200518T1200,19.63507,62.0,1022.0,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,748.49,496.67505,251.81494,0.44208,0.43538556,13.0,11.879999,8.150272,348.69006,6.924738,351.02737,9.36,360.0,12.397806,25.820984,13.896187,53.426956,37.75025,55.097496,185.0,19.32,8.18,0.81,24.67,12.869995,0.267,8.32474
20200518T1300,20.68507,59.0,1021.6,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,810.79,553.99133,256.79868,0.504,0.48654604,23.0,12.24,8.628235,351.11935,7.5942073,354.5597,10.08,360.0,13.004921,4.7636414,15.192682,53.673157,35.949562,57.264763,182.0,20.33,8.67,0.85,25.67,13.720001,0.266,9.588043
20200518T1400,19.73507,65.0,1021.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,581.17,364.27814,216.89185,0.38592,0.3577413,11.0,11.5199995,7.8712068,336.0375,6.489992,326.30994,8.766573,340.82098,17.518356,9.462311,13.746156,44.999985,33.46645,58.190605,182.0,19.62,8.32,1.43,23.92,14.320007,0.264,7.7155323
20200518T1500,20.88507,64.0,1020.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,562.48,349.59933,212.88065,0.38448,0.35800976,194.0,11.5199995,8.343893,343.30075,6.379216,343.61047,9.0645685,353.15723,16.923828,358.78113,15.530151,44.06079,31.863558,57.925987,174.0,20.63,9.03,1.49,25.9,14.929993,0.264,8.523622
20200518T1600,21.70507,61.0,1020.7,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,743.14996,503.14044,240.00954,0.48528,0.45651564,354.0,13.679999,9.682458,352.09283,9.72,360.0,12.620554,3.2704926,17.015474,353.92755,18.075441,44.19307,30.760519,55.007973,174.0,21.65,9.51,1.37,25.38,15.589996,0.263,9.712657
20200518T1700,21.99507,58.0,1020.2,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,639.02,418.9366,220.0834,0.44496,0.40202278,307.0,15.84,10.656,360.0,12.496719,11.633621,15.463244,12.094757,18.0036,1.145752,20.371038,43.5679,30.145567,49.843994,170.0,22.26,9.95,1.09,24.2,16.160004,0.263,10.647638
20200518T1800,21.93507,58.0,1019.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,514.42,318.60107,195.81892,0.38016,0.3298674,302.0,18.0,11.504656,5.3145447,14.799459,18.434952,18.331741,19.502441,20.431387,14.281097,23.1774,43.1118,30.04221,44.028976,167.0,22.56,10.32,0.95,22.8,16.559998,0.262,10.608545
20200518T1900,21.45507,59.0,1019.7,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,367.57,217.21616,150.35385,0.28512,0.24042158,306.0,18.359999,10.817939,9.926224,15.463246,24.775131,21.578989,27.847565,23.358425,24.590103,26.493652,42.797394,30.7542,38.34558,166.0,22.56,10.38,0.93,20.99,16.830017,0.262,10.05494
20200518T2000,20.31507,66.0,1019.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,214.48999,120.18738,94.30261,0.1656,0.13754147,330.0,17.28,9.722688,9.462311,16.267857,24.863693,25.376808,31.660751,27.871534,35.53766,29.05983,41.987213,32.25166,33.157913,165.0,22.19,10.53,0.91,18.82,16.929993,0.262,7.7706757
20200518T2100,17.01507,77.0,1019.7,0.0,0.0,0.0,0.0,0.0,0.0,60.0,69.42,36.764355,32.655643,0.03024,0.03687932,241.0,16.919998,7.4782047,4.085617,17.992796,19.885162,28.961546,34.87532,31.569351,44.075943,30.886656,40.746155,34.08042,31.17134,165.0,21.52,10.72,1.04,12.42,16.730011,0.262,4.271057
20200518T2200,14.79507,84.0,1020.5,0.0,0.0,0.0,0.0,0.0,0.0,8.366667,0.0,0.0,0.0,0.0,0.003757599,61.0,21.96,7.237064,6.340164,21.068459,19.983109,32.33193,37.76306,33.66337,48.46823,32.957207,40.1261,34.955242,32.380676,170.0,20.57,10.76,1.29,10.84,16.25,0.262,2.5760078
20200518T2300,12.77507,91.0,1020.9,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.4,7.7576847,15.945404,23.210928,23.782028,33.39473,41.9413,33.233284,50.27388,34.247337,39.882675,35.04596,33.690063,173.0,19.52,10.65,1.64,10.0,15.709991,0.262,1.2697678
20200519T0000,11.27507,94.0,1020.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.759998,7.9831147,25.709946,26.89419,27.937134,34.875435,44.581787,31.942772,50.029053,35.538033,39.656937,35.15488,34.99202,171.0,18.54,10.46,1.94,9.13,15.190002,0.262,0.76639557
20200519T0100,9.96507,95.0,1020.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.919998,7.463956,34.824493,27.288855,30.963745,33.864883,46.292145,30.378967,49.325043,35.815926,39.289413,35.362556,35.469864,168.0,17.71,10.25,2.09,7.88,14.610016,0.263,0.58497524
20200519T0200,9.09507,95.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,7.1977315,38.990982,26.865265,32.412292,31.820824,45.45836,28.528723,47.045395,35.815926,39.289413,35.65636,35.134186,169.0,16.87,10.1,2.19,6.74,14.029999,0.263,0.5515585
20200519T0300,8.31507,95.0,1021.1,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.119999,6.972355,46.54814,26.459387,33.906265,30.802622,45.473495,28.257132,44.483826,36.881996,38.659805,37.455574,35.217575,169.0,16.01,9.99,2.22,5.72,13.390015,0.263,0.52303886
20200519T0400,7.79507,95.0,1021.2,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,6.791894,48.179825,24.66197,33.690063,26.474075,44.999985,28.04305,41.877853,37.669487,38.40326,39.047966,34.862183,169.0,15.25,9.94,2.25,4.77,12.76001,0.263,0.5047579
20200519T0500,7.25507,94.0,1020.7,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.448861,51.70984,23.269482,34.919403,23.675303,44.38394,28.856194,40.446228,38.741417,37.828278,40.258884,35.53766,166.0,14.51,9.87,2.23,4.06,12.110016,0.263,0.5836487
20200519T0600,6.89507,93.0,1020.8,0.0,0.0,30.0,0.0,0.0,30.0,1.0666667,0.0,0.0,0.0,0.0,0.0,0.0,16.919998,6.287266,53.61563,22.039528,38.367477,22.42427,42.39743,30.192822,39.193268,40.541176,37.78572,41.475063,36.173615,166.0,13.86,9.81,2.2,3.44,11.490021,0.263,0.66422653
20200519T0700,8.40507,91.0,1020.5,0.0,0.0,27.0,0.0,0.0,27.0,42.765953,51.62,27.220879,24.39912,0.00864,0.0,0.0,16.199999,5.4919763,50.906143,19.61587,42.768814,21.94524,41.009094,32.048088,38.157227,42.626186,37.450577,42.340958,37.746796,165.0,13.39,9.76,2.14,8.96,11.089996,0.263,0.9472723
20200519T0800,12.47507,85.0,1019.6,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,206.48,114.90116,91.578835,0.07776,0.07159353,0.0,15.4800005,5.842608,24.227737,15.7908325,43.15239,22.493519,39.805573,33.912685,37.234833,44.208233,37.05652,43.466175,39.62329,164.0,13.61,9.76,2.11,14.35,11.140015,0.263,2.074809
