timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Gust
20200321T0800,7.233722,77.0,1017.1,0.0,0.0,0.0,0.0,0.0,0.0,26.266666,5.34,2.6237357,66.037506,4.6938257,57.5288,11.457958,43.726974,5.04
20200321T0900,7.8937225,79.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,127.27,3.207881,41.63353,7.386582,46.97493,14.618837,37.99872,9.36
20200321T1000,9.823722,80.0,1016.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,298.15,8.528962,38.659805,13.608762,37.476166,18.440998,38.659805,14.04
20200321T1100,11.023722,74.0,1016.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,453.00998,10.575777,40.914368,17.148247,39.035507,21.203358,49.820755,16.56
20200321T1200,12.263722,67.0,1015.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,576.72,10.817939,37.99872,17.283749,35.67639,23.507751,49.96974,18.0
20200321T1300,13.293722,59.0,1014.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,658.6,11.029089,37.146683,17.57744,34.99202,19.652176,28.442917,17.28
20200321T1400,14.353722,57.0,1014.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,694.2,10.609277,38.88449,16.704155,37.11685,21.479664,39.55966,17.64
20200321T1500,15.4337225,56.0,1013.8,0.0,0.0,0.0,0.0,0.0,0.0,60.0,678.18,8.738569,37.568573,12.387348,35.53766,14.512064,29.744873,15.119999
20200321T1600,15.783722,57.0,1012.9,0.0,0.0,1.2,4.0,0.0,0.0,59.234043,608.76,11.869009,45.909378,17.566378,44.169678,16.981165,32.005356,16.56
20200321T1700,15.783722,57.0,1012.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,509.08,12.831524,41.63353,19.61587,42.768814,23.166216,44.370377,18.72
20200321T1800,15.483722,58.0,1012.8,0.0,0.0,10.0,0.0,0.0,10.0,53.61702,359.56,16.991224,41.185898,27.059933,40.683975,29.275326,45.4982,20.16
20200321T1900,14.343722,66.0,1012.5,0.0,0.0,10.0,9.0,0.0,10.0,53.61702,195.8,18.521986,40.33313,31.667723,40.389343,31.63087,48.69139,22.68
20200321T2000,12.763722,74.0,1012.8,0.0,0.0,2.7,9.0,0.0,0.0,49.632236,47.17,21.846422,37.568573,40.321606,37.38144,35.281837,53.71472,24.48
20200321T2100,10.303722,77.0,1013.8,0.0,0.0,1.2,4.0,0.0,0.0,0.0,0.0,25.00473,38.9458,44.079056,38.367477,35.04596,56.30993,27.359999
20200321T2200,9.003722,79.0,1014.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.060013,46.292145,45.314262,45.643738,30.85307,55.939087,31.319998
20200321T2300,7.9837217,81.0,1015.6,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,24.683363,46.311874,44.319492,46.97493,27.504093,52.98011,34.92
20200322T0000,7.063722,83.0,1015.3,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,22.812614,47.36624,41.797226,47.792694,24.798225,50.30092,28.08
20200322T0100,6.313722,85.0,1015.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,22.10478,49.398697,40.539577,48.239685,21.407139,47.726303,27.0
20200322T0200,5.893722,85.0,1016.5,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,21.932343,49.927094,39.82843,49.398697,20.150354,48.621475,28.44
20200322T0300,5.993722,85.0,1017.1,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,13.447264,33.690063,23.770906,35.134186,25.582806,50.71057,24.48
20200322T0400,6.263722,83.0,1016.5,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,18.062233,37.2079,32.61727,37.375793,24.703974,46.771454,23.039999
20200322T0500,6.1337223,82.0,1016.4,0.0,0.0,100.0,0.0,7.0,100.0,0.0,0.0,20.024351,40.683975,36.23682,40.971725,20.633371,47.121094,24.48
20200322T0600,6.023722,81.0,1016.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,19.971117,43.919083,35.39186,43.763596,19.61587,47.23117,23.4
20200322T0700,5.623722,82.0,1016.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,20.3478,46.060898,35.893642,45.40634,21.67487,48.366455,24.84
20200322T0800,5.4237223,81.0,1017.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,7.12,20.91028,44.483826,37.169018,44.215164,22.932877,47.5448,25.919998
20200322T0900,5.6937222,78.0,1017.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,125.49,22.423538,46.444107,38.954926,46.123306,23.441502,47.489548,27.359999
20200322T1000,6.183722,75.0,1018.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,289.25,23.189045,47.327805,38.723015,47.260498,23.686249,43.152374,27.72
20200322T1100,6.813722,73.0,1017.9,0.0,0.0,58.0,0.0,1.0,58.0,22.978725,443.22,22.683142,49.76364,37.76055,48.865463,24.195107,43.191254,27.0
20200322T1200,8.053722,69.0,1018.2,0.0,0.0,63.0,0.0,0.0,63.0,19.787235,570.49,22.812614,47.36624,36.918873,46.18524,26.758923,42.27368,28.44
20200322T1300,9.303722,66.0,1017.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,657.70996,21.854544,45.987747,35.39186,46.23639,27.248455,43.393997,29.16
20200322T1400,10.523722,64.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,60.0,696.87,21.307005,47.533554,34.679794,48.366455,26.596178,39.507675,28.8
20200322T1500,10.993722,63.0,1017.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,681.74,23.809662,49.537766,38.03243,49.22223,32.957207,49.8739,28.44
20200322T1600,11.483722,60.0,1017.5,0.0,0.0,13.0,0.0,13.0,0.0,51.70213,620.33,26.943302,43.798157,45.314262,44.356247,41.718082,50.9541,32.760002
20200322T1700,10.923722,61.0,1017.6,0.0,0.0,8.0,0.0,8.0,0.0,54.893616,514.42,27.423677,39.87683,45.770996,39.574768,42.05842,54.405304,32.760002
20200322T1800,10.373722,61.0,1018.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,375.58,26.878689,39.36931,45.596527,38.58914,45.035984,55.420708,34.92
20200322T1900,9.833722,63.0,1018.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,210.04,25.272923,34.69516,44.946686,35.217575,46.452557,54.46232,30.239998
20200322T2000,8.973722,65.0,1018.8,0.0,0.0,0.0,0.0,0.0,0.0,52.45,45.39,23.353725,32.42105,43.933273,33.299408,44.03493,55.66033,38.16
20200322T2100,8.343722,65.0,1019.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6031,36.74054,43.416954,37.249954,42.23676,55.768135,40.32
20200322T2200,7.083722,57.0,1021.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.143997,40.777756,51.308525,40.732086,35.949562,57.264763,28.8
20200322T2300,5.3837223,58.0,1021.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.632734,44.999985,51.420807,44.999985,28.963785,57.692657,28.08
