timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Gust
20200316T2300,10.233722,62.0,1026.1,0.0,0.0,3.9,13.0,0.0,0.0,0.0,0.0,3.8420756,213.69006,4.5820518,225.0,0.71999997,360.0,3.2399998
20200317T0000,10.293722,56.0,1026.2,0.0,0.0,6.3,21.0,5.0,0.0,0.0,0.0,4.890454,209.35776,7.4128532,240.9454,1.8,233.1301,6.4799995
20200317T0100,9.603722,59.0,1026.7,0.0,0.0,6.6000004,22.0,3.0,0.0,0.0,0.0,5.3876066,188.53076,6.1305785,229.76364,3.0758414,249.44395,6.8399997
20200317T0200,9.153722,62.0,1027.7,0.0,0.0,5.1000004,17.0,0.0,0.0,0.0,0.0,5.328,180.0,5.00128,210.25644,4.3349743,221.63354,8.64
20200317T0300,8.853722,61.0,1028.5,0.0,0.0,3.6000001,12.0,0.0,0.0,0.0,0.0,4.824709,173.6598,4.198285,210.96376,5.991594,212.73523,6.12
20200317T0400,8.363722,61.0,1028.3,0.0,0.0,1.2,4.0,0.0,0.0,0.0,0.0,4.824709,173.6598,3.8268526,221.18593,6.6185193,247.61987,6.12
20200317T0500,8.133722,59.0,1028.5,0.0,0.0,1.5,5.0,0.0,0.0,0.0,0.0,5.0615997,180.0,4.3349743,221.63354,6.489992,266.8202,5.7599998
20200317T0600,7.853722,58.0,1028.8,0.0,0.0,2.7,9.0,0.0,0.0,0.0,0.0,4.5288,180.0,3.7064266,209.05461,4.32,270.0,3.96
20200317T0700,7.583722,59.0,1028.9,0.0,0.0,4.5,15.0,0.0,0.0,0.0,0.0,3.1968002,180.0,2.4149535,206.56505,2.8799999,270.0,1.8
20200317T0800,7.643722,59.0,1030.0,0.0,0.0,4.8,16.0,0.0,0.0,17.539503,1.78,2.1312,180.0,1.9386592,201.8014,1.8,270.0,0.35999998
20200317T0900,7.833722,61.0,1030.6,0.0,0.0,4.8,16.0,0.0,0.0,56.93617,117.479996,1.3583788,168.69006,1.835647,191.30994,1.609969,296.56506,0.35999998
20200317T1000,9.223722,62.0,1030.9,0.0,0.0,3.9,13.0,0.0,0.0,57.510635,288.36,0.0,180.0,0.71999997,180.0,1.4399999,360.0,0.35999998
20200317T1100,11.013722,56.0,1030.6,0.0,0.0,3.6000001,12.0,0.0,0.0,57.70213,439.66,1.3583788,11.309921,1.835647,11.309921,1.9386592,21.801407,1.4399999
20200317T1200,12.753722,53.0,1029.8,0.0,0.0,3.0,10.0,0.0,0.0,58.085106,558.02997,3.2189233,24.443954,4.510787,28.610443,3.219938,26.565033,2.16
