location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217,46.22217
lon,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116,6.15116
asl,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573,380.573
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,°C,°C,°C,°C,°C,m³/m³,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Geopotential Height [1000 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20201109T0000,9.893723,96.0,1024.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.4399999,4.802999,192.99461,5.4477882,172.40535,7.386582,226.97495,10.883676,214.2157,30.096085,216.73283,43.32731,261.39862,203.0,11.75,6.75,-3.47,10.24,10.459991,0.277,0.4918337
20201109T0100,9.723722,96.0,1025.1,0.0,0.0,100.0,16.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.08,3.671294,191.30994,3.671294,191.30994,6.439876,243.43495,8.557102,202.24902,28.51282,217.30396,43.850594,257.6753,206.0,11.25,6.58,-3.3,10.18,10.459991,0.277,0.4862604
20201109T0200,9.503722,96.0,1024.8,0.0,0.0,100.0,33.0,43.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.8,2.6208394,195.9454,3.0547013,225.0,3.319036,229.39871,8.557102,194.62088,27.579382,215.97238,43.831387,255.73549,203.0,10.86,6.48,-3.16,10.08,10.429993,0.276,0.47913265
20201109T0300,9.283722,96.0,1024.8,0.0,0.0,100.0,14.0,98.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.52,1.1384199,198.43495,1.4399999,270.0,2.2768397,161.56505,7.968939,198.43495,27.333935,220.19205,45.610733,258.15793,203.0,10.46,6.61,-3.06,9.95,10.369995,0.276,0.4720955
20201109T0400,9.1837225,96.0,1025.0,0.0,0.0,100.0,0.0,62.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.2399998,0.71999997,270.0,2.0364676,315.0,2.0991426,120.96376,5.04,180.0,24.693481,225.59065,42.481525,253.25424,204.0,10.19,6.44,-2.91,9.87,10.279999,0.276,0.46892738
20201109T0500,8.963722,96.0,1024.7,0.0,0.0,100.0,0.0,48.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,1.2979984,213.69006,1.08,270.0,2.5455842,98.1301,4.198285,149.03624,23.166216,225.62961,40.113754,248.9625,201.0,9.94,6.14,-2.71,9.71,10.190002,0.276,0.46202374
