Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;16;15;00;11.05;70.00;1008.10;0.00;0.00;0.00;0.00;86.00;100.00;86.00;0.00;0.00;283.02;1.80;360.00;2.90;7.13;33.33;207.67;30.60
2019;12;16;16;00;11.17;71.00;1007.20;0.00;0.00;0.00;0.00;58.00;100.00;58.00;0.00;5.11;230.51;3.62;5.71;5.45;7.59;31.58;204.23;31.32
2019;12;16;17;00;10.90;75.00;1007.60;0.00;0.00;0.00;0.00;34.00;100.00;34.00;0.00;22.98;144.18;2.28;18.43;4.39;34.99;34.97;208.94;29.52
2019;12;16;18;00;10.22;78.00;1006.90;0.00;0.00;0.00;0.00;30.00;100.00;29.00;0.00;33.04;35.60;1.94;21.80;2.81;39.81;40.38;211.14;1.80
2019;12;16;19;00;10.39;77.00;1005.90;0.00;0.00;0.00;0.00;72.00;100.00;72.00;0.00;0.00;0.00;2.81;320.19;2.52;360.00;36.87;207.32;15.48
2019;12;16;20;00;10.23;76.00;1005.80;0.00;0.00;0.00;0.00;100.00;95.00;100.00;0.00;0.00;0.00;5.90;307.57;5.12;320.71;44.20;200.50;18.72
2019;12;16;21;00;9.40;81.00;1006.00;0.20;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;5.86;312.51;5.82;291.80;51.34;194.62;26.64
2019;12;16;22;00;9.57;78.00;1006.20;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;4.69;327.53;5.12;320.71;44.41;191.22;31.32
2019;12;16;23;00;9.84;72.00;1005.70;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;5.00;329.74;5.15;335.22;39.42;189.46;33.84
2019;12;17;00;00;9.97;66.00;1005.30;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;6.76;295.20;6.83;288.43;33.26;189.97;10.08
