Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;24;15;00;16.71;55.00;1021.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;498.40;19.01;217.30;22.10;217.06;28.23;217.75;24.84
2020;02;24;16;00;16.72;50.00;1021.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;397.83;19.88;211.68;23.89;210.82;27.44;218.07;24.48
2020;02;24;17;00;15.82;57.00;1020.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;263.44;19.80;207.03;26.73;207.26;30.81;223.58;25.56
2020;02;24;18;00;13.48;68.00;1020.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;102.35;17.08;198.43;29.37;199.32;29.30;227.49;25.92
2020;02;24;19;00;11.68;68.00;1020.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.43;0.89;16.24;192.80;32.16;201.68;30.08;227.91;25.92
2020;02;24;20;00;10.71;55.00;1019.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.69;191.31;32.29;202.28;29.09;229.01;27.00
2020;02;24;21;00;10.24;54.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.56;188.53;29.50;203.75;30.17;234.22;26.28
2020;02;24;22;00;9.94;49.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.56;188.53;28.75;202.07;30.87;238.35;26.64
2020;02;24;23;00;9.53;45.00;1018.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.54;193.39;30.45;204.44;35.86;234.40;24.48
2020;02;25;00;00;8.28;45.00;1018.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.78;201.37;32.06;212.62;41.23;241.87;28.08
2020;02;25;01;00;7.32;50.00;1018.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.88;205.02;28.12;219.81;35.95;262.52;23.76
